ID	Weight	Height	Shoulder	Chest	Waist	Abdo	Hip	Thigh	Bicep	Forearm	Knee	Calf	Ankle	Wrist	Age	Sex
31	74.8	183.5	113.0	93.6	77.5	82.1	95.0	56.5	32.8	26.2	37.6	36.3	21.0	16.6	23.0	Male
32	70.0	175.5	117.9	105.0	74.0	72.0	90.0	54.2	34.1	28.6	36.2	36.6	22.4	17.2	25.0	Male
33	72.4	188.0	112.5	90.9	74.0	78.8	96.4	51.8	29.8	27.0	36.4	34.6	22.9	17.0	23.0	Male
34	84.1	189.2	110.5	91.2	82.0	89.5	100.0	57.5	32.8	28.0	40.7	40.1	24.3	17.2	23.0	Male
35	69.1	172.8	112.0	98.4	73.0	83.0	95.4	56.3	36.4	27.5	37.2	34.5	21.8	16.9	23.0	Male
36	59.5	170.0	104.0	85.0	70.5	84.0	90.0	50.0	29.0	26.0	36.0	34.5	21.5	17.0	20.0	Male
37	67.2	182.0	114.8	97.2	75.0	77.2	91.3	49.5	31.0	26.1	36.3	35.1	21.0	17.0	22.0	Male
38	61.3	170.0	108.0	91.5	72.1	79.2	91.0	54.9	29.5	24.5	36.1	37.2	22.9	16.0	24.0	Male
39	68.6	177.8	111.2	91.2	78.8	78.0	93.2	55.8	31.9	27.4	36.4	35.1	23.0	16.8	22.0	Male
40	80.1	184.2	118.3	101.1	77.5	78.0	97.0	55.0	37.7	29.9	38.3	39.6	23.3	18.7	24.0	Male
41	87.8	186.7	115.2	104.3	91.5	93.2	103.9	62.0	36.3	29.0	36.7	39.4	23.1	17.6	21.0	Male
42	84.7	171.4	129.9	110.8	84.9	83.0	102.6	66.4	42.3	30.9	37.0	37.7	22.6	17.5	23.0	Male
43	73.4	172.7	112.9	96.3	79.1	78.3	97.1	60.1	35.5	28.8	36.9	38.2	23.4	16.7	24.0	Male
44	72.1	175.3	112.2	102.7	77.9	77.9	90.7	56.7	35.4	28.3	35.6	35.5	22.9	17.0	35.0	Male
45	82.6	180.3	117.1	103.9	91.7	89.4	101.8	61.0	35.7	29.4	37.7	40.0	22.2	17.9	29.0	Male
46	88.7	182.9	118.7	105.6	86.6	87.3	103.9	63.2	37.8	29.7	39.0	40.2	24.3	18.9	25.0	Male
47	84.1	188.0	109.2	95.8	84.7	84.0	101.4	60.0	35.0	28.5	38.4	37.9	23.2	16.8	23.0	Male
48	94.1	177.2	128.1	111.2	90.3	93.5	108.7	66.9	40.2	32.4	39.2	40.1	25.7	17.7	20.0	Male
49	74.9	172.1	113.3	100.0	79.7	87.1	98.4	61.1	36.3	28.6	34.5	36.1	21.4	16.3	25.0	Male
50	59.1	167.0	108.4	91.6	73.1	75.4	86.5	50.6	30.8	26.1	31.7	33.6	20.3	15.8	29.0	Male
51	75.6	169.5	118.7	108.0	79.8	82.5	94.8	58.3	39.8	29.6	34.2	38.1	21.1	16.9	23.0	Male
52	86.2	174.0	126.3	109.6	81.6	86.5	100.9	61.7	39.5	31.7	38.8	36.5	22.7	17.9	23.0	Male
53	75.3	172.7	124.2	105.7	76.8	83.4	98.0	56.8	37.9	30.9	35.9	38.3	23.4	17.3	36.0	Male
54	87.1	182.2	126.7	109.1	85.9	90.4	100.9	61.3	40.1	30.0	36.8	38.6	21.9	16.4	25.0	Male
55	55.2	164.1	103.3	88.8	73.3	77.9	85.7	46.9	30.5	24.8	31.1	30.5	19.0	15.0	24.0	Male
56	57.0	163.0	101.2	86.1	69.9	67.4	84.1	50.8	31.5	26.6	32.8	36.3	20.0	15.8	20.0	Male
57	61.4	171.5	104.3	91.3	72.7	83.2	91.4	51.2	27.8	26.0	34.8	34.7	21.1	15.3	52.0	Male
58	76.8	184.2	113.2	100.6	82.7	83.5	98.0	55.8	33.1	28.0	37.9	39.1	23.2	17.7	50.0	Male
59	86.8	174.0	121.9	105.5	90.1	89.2	104.5	62.7	36.3	29.6	38.4	42.4	25.3	17.5	46.0	Male
60	72.2	174.0	113.1	97.5	82.9	83.6	95.8	52.6	34.5	27.0	35.2	35.2	21.4	16.5	51.0	Male
61	71.6	177.0	108.5	94.4	77.9	79.0	91.7	57.1	31.2	27.5	36.6	37.5	21.6	16.1	28.0	Male
62	84.8	186.0	113.9	99.6	92.5	96.2	103.4	58.5	34.5	28.4	38.4	38.0	22.4	17.2	48.0	Male
63	68.2	167.0	112.6	98.1	77.8	77.2	90.0	52.4	33.2	26.4	34.2	36.0	21.8	17.5	35.0	Male
64	66.1	171.8	110.2	93.6	72.7	77.3	91.7	51.9	32.1	27.4	33.5	33.8	21.1	16.9	23.0	Male
65	72.0	182.0	108.7	93.4	75.0	79.2	94.0	53.8	34.2	27.9	36.1	36.2	22.0	17.5	23.0	Male
66	64.6	167.0	104.0	92.0	76.0	83.0	93.0	54.5	29.5	26.0	37.0	34.5	22.8	17.4	62.0	Male
67	74.8	177.8	115.2	99.2	82.7	84.2	93.0	56.6	32.4	27.6	35.8	36.3	21.8	16.7	21.0	Male
68	70.0	164.5	111.9	97.6	80.0	85.7	97.4	57.8	33.8	28.6	36.2	37.4	22.0	17.2	26.0	Male
69	101.6	192.0	127.0	108.8	107.1	107.2	108.3	67.0	39.6	30.6	40.0	39.6	24.6	17.7	33.0	Male
70	63.2	175.5	111.2	91.9	76.2	78.1	90.0	52.0	30.7	25.8	34.8	32.6	21.0	16.1	36.0	Male
71	79.1	171.2	122.0	105.2	90.2	88.6	100.2	60.8	35.7	29.4	39.2	39.1	24.5	17.9	41.0	Male
72	78.9	181.6	114.5	98.3	89.4	87.4	97.7	54.8	31.0	26.0	36.4	35.6	21.6	16.6	40.0	Male
73	67.7	167.4	109.5	92.5	80.9	78.5	96.0	59.0	31.5	26.3	36.1	39.0	21.2	15.6	27.0	Male
74	66.0	181.1	110.8	92.5	73.5	76.4	92.0	53.1	30.6	27.1	36.0	36.0	23.8	17.5	27.0	Male
75	68.2	177.0	118.8	101.6	70.9	76.7	95.3	56.0	36.0	28.6	36.0	34.0	22.0	17.0	23.0	Male
76	63.9	174.5	108.0	94.6	76.1	78.0	86.3	52.4	28.6	23.9	34.5	37.9	22.7	15.8	31.0	Male
77	72.0	177.5	114.3	92.5	81.0	85.2	92.5	54.7	32.3	26.8	35.8	37.6	21.1	15.8	26.0	Male
78	56.8	170.5	105.4	88.2	72.0	72.0	85.5	50.2	28.6	24.8	34.9	35.1	20.1	15.4	23.0	Male
79	74.5	182.4	115.0	91.0	76.8	80.0	94.5	54.6	33.2	28.0	37.5	35.6	22.1	16.3	24.0	Male
80	90.9	197.1	119.5	106.0	86.0	92.0	103.0	60.6	34.0	29.8	38.8	39.5	23.6	18.0	24.0	Male
81	93.0	180.1	130.0	115.0	98.5	106.6	116.5	67.8	35.8	27.2	38.0	41.2	23.3	16.0	34.0	Male
82	80.9	175.5	113.3	100.0	79.0	82.5	98.5	62.1	34.0	28.8	39.6	40.8	25.9	18.0	21.0	Male
83	72.7	180.6	113.2	94.7	77.5	80.5	92.0	54.2	30.9	26.6	36.5	35.8	21.3	16.5	25.0	Male
84	68.0	184.4	106.9	92.5	75.2	80.2	91.6	49.6	29.2	26.1	36.2	35.7	22.1	16.7	34.0	Male
85	70.9	175.5	113.8	96.7	82.0	82.2	92.7	54.6	32.0	27.1	35.6	36.4	20.7	16.2	31.0	Male
86	72.5	180.6	117.3	97.4	79.6	80.8	95.0	54.2	32.6	27.4	36.5	38.0	21.6	16.6	40.0	Male
87	72.5	177.0	124.2	106.7	75.2	77.8	94.5	57.4	36.7	29.9	38.1	36.0	22.6	17.3	21.0	Male
88	83.4	177.1	123.0	106.2	88.6	88.3	100.5	63.4	36.9	29.4	38.4	38.6	23.1	17.3	33.0	Male
89	75.5	181.6	117.8	103.6	81.5	83.3	91.8	55.0	33.0	27.8	35.4	36.5	21.9	16.4	25.0	Male
90	73.0	176.5	118.8	98.3	79.9	82.4	87.5	54.4	33.5	27.3	36.8	37.9	22.3	16.6	29.0	Male
91	70.2	175.0	112.0	87.8	73.5	77.5	94.9	53.5	34.3	28.5	36.5	35.2	22.0	17.0	27.0	Male
92	73.4	174.0	113.0	99.8	80.3	80.8	93.0	55.4	33.3	28.0	36.0	37.8	20.3	16.5	44.0	Male
93	70.5	165.1	116.0	104.6	81.5	85.0	92.0	54.1	33.0	28.0	35.1	35.2	21.1	16.3	26.0	Male
94	68.9	177.0	112.8	86.5	74.0	76.5	91.3	53.5	30.5	26.1	36.6	38.6	21.2	16.0	22.0	Male
95	102.3	192.0	125.0	110.0	104.0	99.0	111.7	63.2	37.5	29.0	41.2	39.3	24.6	18.6	37.0	Male
96	68.4	176.5	108.3	93.2	76.2	83.8	92.8	55.2	31.2	26.2	36.8	37.7	22.7	16.2	38.0	Male
97	65.9	169.4	108.2	90.0	76.5	77.7	91.2	54.2	33.1	27.2	35.5	35.3	21.5	16.2	20.0	Male
98	75.7	182.1	113.0	98.4	81.0	80.5	96.2	56.0	32.0	27.4	37.0	35.5	24.0	16.5	21.0	Male
99	84.5	179.8	115.0	107.2	88.8	86.8	100.0	61.0	34.6	27.9	38.0	39.4	23.2	17.0	24.0	Male
100	87.7	175.3	123.0	108.3	94.0	98.0	108.2	66.8	35.6	27.3	39.5	43.0	25.3	17.7	45.0	Male
101	86.4	184.9	120.2	105.7	83.4	86.5	101.1	61.3	34.7	29.4	39.4	41.8	24.0	17.8	25.0	Male
102	73.2	177.3	114.0	88.5	77.0	79.0	93.0	51.7	33.5	27.9	38.4	38.5	22.5	17.5	22.0	Male
103	53.9	167.4	102.9	79.3	75.4	78.0	88.6	50.0	25.6	22.7	33.8	32.5	21.2	14.6	29.0	Male
104	72.0	178.1	112.5	90.9	80.3	80.8	92.8	53.9	32.5	28.0	36.5	35.0	21.0	16.4	37.0	Male
105	55.5	168.9	104.5	90.2	68.0	67.0	81.5	49.5	27.0	23.6	34.0	34.5	20.9	16.0	20.0	Male
106	58.4	157.2	111.3	91.6	80.6	78.0	91.3	55.0	30.7	25.3	35.5	34.0	20.8	16.4	20.0	Male
107	83.2	180.3	117.2	105.2	88.6	94.7	94.7	58.3	36.9	28.8	40.3	39.7	26.3	18.1	32.0	Male
108	72.7	170.2	112.8	97.0	81.1	88.2	93.9	53.5	33.7	28.6	35.0	37.3	23.1	16.7	23.0	Male
109	64.1	177.8	104.8	85.3	70.8	84.9	89.4	55.8	28.7	25.5	38.5	34.2	21.3	15.6	25.0	Male
110	72.3	172.7	117.7	99.6	73.3	82.1	89.3	55.4	36.3	32.5	34.3	34.3	22.3	18.4	27.0	Male
111	65.0	165.1	107.7	94.3	75.9	79.1	92.6	54.4	33.2	27.9	34.8	35.5	23.0	16.3	21.0	Male
112	86.4	186.7	125.2	111.8	86.2	93.5	96.3	59.1	36.3	28.0	38.3	34.7	23.0	16.1	27.0	Male
113	65.0	165.1	109.1	94.3	75.0	82.2	88.0	53.8	36.3	28.9	34.5	33.5	23.0	17.1	25.0	Male
114	88.6	174.0	122.6	106.1	101.0	99.7	105.5	60.2	38.6	30.3	39.5	39.4	25.6	18.3	38.0	Male
115	84.1	175.3	117.3	102.0	90.0	92.3	102.3	60.0	34.6	29.7	38.2	38.3	23.7	18.0	44.0	Male
116	66.8	185.4	109.1	94.8	75.0	79.6	91.6	49.4	30.0	26.5	31.7	30.2	16.4	16.1	27.0	Male
117	75.5	177.8	116.7	102.9	75.9	77.0	93.4	55.0	35.2	28.7	37.0	37.7	24.5	17.3	37.0	Male
118	93.2	180.3	124.9	115.8	96.0	95.9	103.6	62.2	38.2	30.1	41.2	39.4	25.1	17.7	28.0	Male
119	82.7	180.3	118.6	105.4	84.0	90.4	94.8	57.6	38.7	30.2	38.6	38.2	22.8	18.2	33.0	Male
120	58.0	177.8	108.8	87.1	67.1	80.4	85.9	46.8	30.3	25.4	32.7	32.1	20.0	15.3	25.0	Male
121	79.5	177.8	121.9	104.1	82.5	90.1	98.4	57.7	37.9	31.6	37.8	38.3	24.6	18.1	21.0	Male
122	78.6	177.8	117.3	95.8	83.7	84.2	98.4	56.2	33.7	28.0	38.0	39.6	25.8	17.6	30.0	Male
123	71.8	177.8	115.0	98.6	76.7	85.8	93.3	56.0	35.7	27.6	34.7	34.6	20.6	16.0	26.0	Male
124	116.4	177.8	134.8	118.7	105.2	105.0	115.5	69.9	39.4	32.1	42.2	47.7	27.0	19.2	27.0	Male
125	72.2	163.8	113.8	100.9	90.6	93.3	97.7	58.0	34.8	28.0	34.1	35.8	22.2	16.3	33.0	Male
126	83.6	188.0	119.4	98.5	85.7	92.9	98.6	55.5	35.3	28.7	39.3	35.9	23.0	17.4	29.0	Male
127	85.5	198.1	117.9	96.9	82.5	90.8	94.9	54.4	32.8	28.7	39.2	37.0	27.5	17.9	27.0	Male
128	90.9	175.3	127.3	110.7	94.7	92.0	101.3	60.1	37.2	30.9	40.5	40.0	24.2	17.6	34.0	Male
129	85.9	166.4	118.8	108.0	105.2	103.4	108.1	60.5	38.0	30.2	36.9	37.7	21.6	18.3	42.0	Male
130	89.1	190.5	122.4	109.0	86.0	90.2	98.0	59.5	40.0	31.2	38.3	39.0	25.8	19.5	29.0	Male
131	75.0	166.4	111.5	104.2	90.9	92.7	100.2	51.8	30.1	26.8	38.1	36.4	23.2	16.3	41.0	Male
132	77.7	177.8	113.2	100.5	92.4	92.4	97.0	50.9	32.9	29.0	37.7	37.7	23.4	17.0	43.0	Male
133	86.4	179.7	115.3	105.7	96.5	98.2	97.4	54.3	31.9	28.5	37.7	39.3	24.5	17.1	43.0	Male
134	90.9	172.7	122.5	112.4	98.4	101.5	107.9	67.4	39.2	30.5	42.6	40.7	25.3	17.5	29.0	Male
135	73.6	190.5	114.4	96.2	76.7	83.5	93.9	50.4	32.1	27.7	36.1	32.9	23.2	17.0	27.0	Male
136	76.4	185.4	112.8	97.5	94.8	98.2	98.6	48.3	31.1	27.0	37.7	36.8	24.6	18.4	62.0	Male
137	69.1	168.9	112.2	90.9	80.1	79.8	91.3	56.2	32.9	27.2	36.2	33.0	23.0	16.8	33.0	Male
138	84.5	167.6	119.4	108.4	97.4	103.7	105.3	55.6	36.6	28.4	38.2	36.6	22.9	18.1	45.0	Male
139	64.5	175.3	108.4	94.3	73.7	74.5	88.2	52.3	29.6	26.2	35.2	36.2	21.2	16.2	30.0	Male
140	69.1	170.2	122.4	109.1	76.1	90.1	93.3	51.7	37.0	30.6	36.8	37.7	23.6	18.5	20.0	Male
141	108.6	190.5	128.8	115.0	95.6	101.9	107.9	64.6	37.1	30.0	41.8	39.6	24.7	18.2	22.0	Male
142	86.4	177.8	118.0	104.4	101.0	98.9	103.3	54.4	38.1	29.8	39.7	41.8	25.0	19.6	51.0	Male
143	80.9	190.5	116.5	100.1	84.5	84.5	94.4	54.7	33.9	28.6	38.5	37.6	25.0	17.7	34.0	Male
144	87.7	177.8	120.4	108.4	98.0	101.8	101.5	56.9	38.2	29.9	37.7	39.2	24.9	17.6	44.0	Male
145	94.5	184.2	123.1	107.3	101.6	103.8	110.0	57.8	34.9	28.9	40.3	40.0	23.7	18.1	46.0	Male
146	80.2	176.5	117.2	101.8	87.8	90.2	98.4	55.6	33.1	28.4	38.2	37.7	24.5	17.1	34.0	Male
147	72.0	177.8	113.0	94.5	80.0	85.0	95.0	52.0	31.5	26.5	36.9	36.4	22.9	17.0	32.0	Male
148	71.4	180.3	109.4	91.7	81.8	82.9	98.3	56.3	31.0	25.7	35.0	33.0	22.0	15.5	28.0	Male
149	72.7	171.4	105.7	95.9	84.4	86.8	99.0	55.0	30.5	26.4	36.1	38.4	21.3	16.4	31.0	Male
150	84.1	172.7	119.7	110.5	85.0	83.5	95.7	59.0	39.2	29.9	37.9	37.7	23.8	17.1	29.0	Male
151	76.8	172.7	118.0	104.0	90.0	86.0	96.0	52.5	33.5	29.1	36.0	36.9	23.0	18.0	42.0	Male
152	63.6	177.8	104.3	86.8	72.9	73.4	89.5	51.0	29.8	24.8	32.6	33.1	22.1	16.3	29.0	Male
153	80.9	177.8	114.1	106.7	81.0	80.2	93.7	54.8	35.5	30.6	36.9	37.3	22.7	16.8	31.0	Male
154	80.9	182.9	119.0	102.5	86.5	89.0	97.0	57.0	34.0	28.4	38.0	37.0	22.5	17.4	30.0	Male
155	85.5	170.2	113.8	103.0	93.9	98.6	103.6	60.5	34.4	28.5	40.9	40.8	24.6	17.1	27.0	Male
156	68.6	167.6	118.0	95.0	77.0	78.0	93.0	52.0	32.6	28.4	34.4	34.4	20.0	16.5	25.0	Male
157	67.7	175.3	116.0	99.0	75.0	75.0	90.0	50.6	32.0	27.3	33.8	34.0	22.0	17.0	24.0	Male
158	66.4	165.1	108.3	89.7	80.6	80.8	90.0	55.5	28.9	25.0	34.6	37.4	23.0	16.4	33.0	Male
159	102.3	185.4	129.2	111.5	100.5	107.3	109.5	61.8	37.4	31.6	41.0	39.7	25.4	18.4	45.0	Male
160	70.5	181.6	109.2	94.1	81.2	84.0	91.6	51.5	33.0	27.0	35.2	35.5	23.1	16.3	37.0	Male
161	95.9	172.7	124.3	118.3	103.4	106.2	108.5	60.5	35.4	29.7	42.3	40.8	24.8	17.1	44.0	Male
162	84.1	190.5	122.6	106.5	90.3	101.1	101.6	57.2	35.4	28.6	40.4	37.8	24.9	17.9	34.0	Male
163	87.3	179.1	122.4	110.4	98.0	98.0	99.6	56.7	36.4	29.2	40.9	42.1	26.1	19.5	55.0	Male
164	71.8	175.3	114.9	102.3	86.5	87.7	91.9	55.0	35.0	28.9	38.3	37.8	24.0	17.3	43.0	Male
165	65.9	170.2	111.1	98.5	77.9	87.3	90.8	50.8	35.0	28.4	35.5	35.0	21.0	16.6	24.0	Male
166	95.9	193.0	126.0	111.6	89.1	95.1	104.8	62.7	37.9	31.2	41.1	41.2	27.7	18.1	22.0	Male
167	91.4	171.4	115.5	106.7	93.9	111.8	111.4	62.8	36.2	29.7	42.8	39.3	23.5	16.8	38.0	Male
168	81.8	177.8	124.7	110.4	85.3	82.9	96.5	57.0	39.0	29.8	36.8	36.0	21.6	17.3	24.0	Male
169	96.8	177.8	125.3	114.0	98.5	103.8	108.1	61.3	37.2	31.4	41.9	42.1	26.4	17.9	29.0	Male
170	69.1	167.6	118.2	101.8	79.5	90.1	95.3	54.8	34.2	28.5	36.6	36.2	22.8	17.3	25.0	Male
171	82.7	167.6	124.3	109.6	94.9	94.7	104.3	59.0	35.9	27.8	37.7	36.8	23.2	16.5	37.0	Male
172	75.5	180.3	118.3	100.7	76.5	87.2	96.3	54.2	33.8	27.7	36.4	38.2	23.8	18.2	30.0	Male
173	79.5	182.9	122.3	104.3	88.4	89.6	98.8	54.8	35.5	29.7	37.7	37.0	23.7	18.3	26.0	Male
174	73.6	176.5	116.5	104.2	84.2	84.0	93.2	55.0	33.0	25.4	35.6	36.4	22.8	15.9	35.0	Male
175	91.8	186.7	123.0	107.4	87.6	89.4	106.7	60.9	38.3	31.2	39.0	42.6	25.8	18.8	29.0	Male
176	84.1	188.0	117.6	101.0	83.7	91.1	99.9	56.8	33.5	27.7	38.7	41.8	29.3	18.0	30.0	Male
177	85.9	188.0	117.5	103.0	92.1	91.3	103.8	56.6	33.3	27.7	37.1	37.4	22.6	17.1	37.0	Male
178	81.8	177.8	117.3	107.2	89.9	94.7	107.1	59.2	35.3	26.9	36.6	32.3	22.0	17.1	34.0	Male
179	82.5	174.0	114.5	99.0	88.7	91.0	100.0	57.5	34.0	28.3	40.9	38.8	26.4	18.1	28.0	Male
180	80.5	177.8	122.9	100.3	83.9	89.4	103.9	59.8	36.1	29.4	37.0	36.5	24.3	18.7	27.0	Male
181	70.0	171.4	115.5	100.2	79.5	88.7	95.3	52.5	34.6	25.8	35.6	35.1	21.8	16.3	32.0	Male
182	81.8	185.4	116.1	99.8	84.5	92.6	99.5	59.2	34.3	29.0	36.5	38.5	24.5	17.3	28.0	Male
183	84.1	185.4	121.6	107.5	89.2	88.4	107.0	56.9	35.6	28.5	37.0	37.6	23.0	17.5	22.0	Male
184	90.5	188.0	131.6	110.1	90.7	91.9	101.7	58.0	36.8	29.0	36.9	38.9	24.2	17.9	44.0	Male
185	91.4	188.0	124.5	107.0	88.8	97.5	103.8	61.0	36.7	28.6	38.4	39.5	24.4	16.8	25.0	Male
186	89.1	182.9	115.6	105.6	103.6	100.7	100.6	55.3	33.6	26.9	37.8	37.9	23.9	17.1	49.0	Male
187	85.0	176.5	117.0	103.6	98.5	99.9	103.6	57.5	33.7	29.0	38.7	36.7	24.3	17.7	54.0	Male
188	69.1	175.3	108.6	97.1	82.9	88.1	91.2	51.7	30.7	25.7	33.9	33.4	21.2	16.7	49.0	Male
189	73.6	175.3	120.2	109.8	90.5	92.3	95.2	52.4	35.8	28.7	32.5	36.5	23.7	17.5	60.0	Male
190	80.5	188.0	116.2	103.3	84.5	94.5	98.2	53.7	32.5	27.8	36.0	36.3	22.0	17.7	42.0	Male
191	82.7	188.0	115.4	103.7	86.0	93.8	97.1	53.1	33.9	27.3	35.7	36.6	22.6	17.5	52.0	Male
192	86.4	175.3	120.0	108.5	84.2	88.9	97.5	58.8	36.6	29.9	34.2	34.8	22.0	18.1	23.0	Male
193	67.7	170.5	110.3	97.8	85.7	89.5	94.9	51.7	32.2	26.4	34.4	32.6	22.0	16.4	33.0	Male
194	92.7	179.1	119.7	112.7	112.1	105.9	106.3	56.9	35.7	27.8	37.3	36.6	22.7	16.4	46.0	Male
195	93.6	177.8	123.5	111.4	99.7	102.9	105.8	57.8	36.5	30.5	39.0	41.2	25.7	18.8	43.0	Male
196	70.9	175.3	107.8	95.1	84.7	92.9	96.7	54.6	32.8	25.3	36.6	35.0	23.5	17.1	56.0	Male
197	75.0	182.9	118.7	100.2	80.3	92.4	96.4	53.8	35.7	29.2	38.4	37.0	25.6	17.9	21.0	Male
198	93.2	170.8	120.7	106.3	98.6	111.7	118.7	70.0	37.1	27.8	37.5	39.2	25.7	15.9	18.0	Male
199	93.2	188.0	118.7	109.5	90.0	96.2	104.3	63.5	39.4	29.9	37.4	37.3	24.3	17.2	21.0	Male
200	77.7	180.3	118.0	106.3	86.6	93.9	95.9	53.6	34.4	28.6	35.0	34.1	21.7	17.1	45.0	Male
201	61.4	177.8	105.0	91.5	80.2	85.7	89.2	48.5	28.7	25.0	35.4	32.3	23.0	16.2	22.0	Male
202	94.1	185.4	110.6	104.9	109.2	104.4	101.7	56.4	34.0	29.2	39.3	38.5	24.3	17.4	55.0	Male
203	75.0	168.9	123.1	109.6	88.4	92.0	95.1	52.5	39.4	29.8	34.5	34.0	22.0	17.0	42.0	Male
204	83.6	185.4	121.0	102.5	81.0	84.5	105.0	56.0	31.5	26.5	38.5	36.9	21.3	16.6	29.0	Male
205	85.5	180.3	111.7	101.2	88.8	90.8	101.3	62.5	35.2	28.9	40.6	39.2	23.0	17.5	40.0	Male
206	73.9	174.0	111.0	98.7	78.1	78.6	92.0	56.5	35.7	29.2	36.4	37.0	22.0	17.2	24.0	Male
207	66.8	167.6	112.0	96.0	81.5	80.5	89.5	52.0	30.3	25.0	36.0	35.0	22.4	16.7	62.0	Male
208	87.3	182.9	115.9	104.2	87.6	89.6	100.5	60.7	36.5	31.1	40.7	38.4	22.9	17.9	26.0	Male
209	72.3	160.0	121.0	103.0	92.5	88.5	94.0	55.0	36.0	28.0	36.5	37.0	21.8	17.5	35.0	Male
210	88.6	180.3	123.6	107.0	97.0	95.5	104.5	56.6	34.4	28.9	40.0	38.5	24.0	17.0	37.0	Male
211	75.5	167.6	120.0	101.0	82.0	82.0	98.0	59.0	35.4	29.0	38.0	42.0	23.6	17.5	34.0	Male
212	101.4	186.7	128.7	112.1	99.5	97.8	107.4	60.5	35.5	28.8	42.9	38.7	25.7	17.1	25.0	Male
213	91.1	175.3	124.5	103.4	93.8	92.7	112.2	66.2	34.8	30.1	45.7	43.6	26.9	17.0	30.0	Male
